word,word_pos,approved_definition,correct_example,incorrect_example
about,ADP,concerned with,"For data about the location of circuit breakers, refer to the wiring list.",
above,ADP,"In (or to) a position farther up than something
    NOTE: For other meanings, use:",Lift the cylinder above its installed position.,
abrasive,ADJ,that can remove material by friction,"Dust, when mixed with oil, has an abrasive effect.",
absent,ADJ,missing,"If one or more blades are missing, make an entry in the engine logbook.","If one or more blades are absent, make an entry in the engine logbook."
absorb,VERB,to take up or into,Absorb the fluid with a clean cloth.,
accept,VERB,to make a decision that something is satisfactory,Accept the relay if it is serviceable.,
access,NOUN,the ability to go into or near,Get access to the accumulator for the no. 1 hydraulic system.,
accident,NOUN,an occurrence that causes injury or damage,Make sure that the pins are installed to prevent accidents.,
accidental,ADJ,that does not occur on purpose,"To prevent accidental operation of the system, install the safety lock.",
accidentally,ADV,that does not occur on purpose,"If you accidentally move the lever, set the system to the neutral position again.",
accurate,ADJ,exact,The adjustment must be accurate.,
accurately,ADV,exactly,Put the repair sheet accurately on the damaged area.,
adapt,VERB,to change or adjust to that which is necessary,Adapt the pressure connection to the pitot head.,
add,VERB,"to increase the number, dimension, or quantity",Add 5 ml of hardener to the compound.,
adjacent,ADJ,"that which is near to an object, with no other objects of the same type between the two.",Make sure that you do not operate the adjacent control.,
adjacent to,ADP,"to be near to an object, with no other object of the same type between the two.",The fuel pump is installed adjacent to the bulkhead.,
adjust,VERB,"to put, or come to a specified position or value",Adjust the frequency to the value given in table 1.,
adjustable,ADJ,that you can adjust,The two stop bolts are adjustable.,
adjustment,NOUN,the effect of adjusting,Make sure that the adjustment is in the limits given in table 1.,
aft,ADJ,nearer to the rear of an air or sea vehicle,The pump is in the aft cell of the fuselage tank.,
aft,ADV,in the direction of the rear of an air or sea vehicle,Move the throttle aft.,
aft of,ADP,at a position nearer to the rear,The control unit is installed aft of the flight compartment.,
after,SCONJ,"that follows a specified time, sequence, or operation",Do a functional test after you install the component.,
after,ADP,"that follows a specified time, sequence, or operation",The bar moves down after 20 seconds.,
again,ADV,one more occurrence,"Move the control stick back to the center, then move it forward again.",
against,ADP,in contact with,Put the adapter in position against its support.,
agent,NOUN,one of a group of materials made to do a specified task,Do not use these cleaning agents on hot surfaces.,
agree,VERB,to be consistent with,The indications must agree with the values in the table.,
aid,NOUN,help that is given,"If you get the solution in your eyes, get medical aid immediately.",
airborne,ADJ,"in, or used in, flight",Position 2 of the switch gives a signal of the aircraft airborne condition.,
airflow,NOUN,a flow of air,Make sure that the airflow is not more than 10 liters/minute.,
align,VERB,to put or come into a spedified position in relation to a line,Align the flange holes with the studs.,
all,ADJ,full quantity,Drain all the fluids.,
almost,ADV,near the limit or the value,Make sure that the pressure in the cabin is almost zero.,
along,ADP,in a line parallel with the length or direction of,Move the tensiometer along the cable.,
also,ADV,in addition,Also do the applicable steps of this procedure.,
alternative,ADJ,that gives a choice,It is permitted to use alternative materials.,
alternative,NOUN,one of two or more objects that have almost the same properties or functions,"In an emergency you can use fuel f-43 as an alternative for fuels f-34 and
f-40.",
although,SCONJ,in spite of the fact that,"Although the pressure decreases, the valve must stay closed.",
always,ADV,at all times,Always keep the brightness control on the lcd display at maximum.,
an,AUX,function word: indefinite article,Make an entry in the logbook.,
analog,ADJ,of data given by pointers and dials,The pre-mod unit has analog indicators.,
and,SCONJ,"function word used to connect words, phrases or clauses",Make sure that the flaps are retracted and the aileron trim handwheel is in the zero position.,
angular,ADJ,that has one or more angles,Make sure that the angular position is correct.,
apart,ADV,At a distance (not specified) from,Move the cable strands apart.,
applicable,ADJ,correct or satisfactory for the task,Refer to the table that follows for the applicable torque values.,
apply,VERB,to put or spread something on,Apply a force of 100 n on the end of the lever.,
approach,VERB,go near,"If you must go near the engine exhaust, use ear protection.","If it is necessary to approach the engine exhaust, use ear protection."
approval,NOUN,that which permits a person or a thing to do something,Get the approval of the manufacturer before you repair.,
approved,ADJ,permitted by an authority,Do the procedure in an approved area.,
approximate,ADJ,almost correct/accurate,An approximate value is satisfactory.,
approximately,ADV,almost correct or accurate,Drain approximately 2 liters of fuel.,
area,NOUN,a specified surface or location,Do not smoke in the work area.,
arm,VERB,to install armaments,Arm the aircraft.,
around,ADP,on all sides of,Put the strap clamps around the cylinder.,
arrow,NOUN,a mark that has a point to show direction,Make sure that the arrow points in the direction of the fuel flow.,
as,SCONJ,construction used to show comparison or relation,Move the control as quickly as possible.,
as,ADP,"in the manner of, to the same quantity, equally",Do not use the cylinder as a support.,
assemble,VERB,"to attach, connect, or put together the parts of something",Assemble the valve as follows:,
assembly,NOUN,items that are connected for a specified function,Remove the wheel brake assembly from the axle.,
asymmetric,ADJ,not symmetrical,"If the result you get is not symmetrical, do a rigging test.","If you get an asymmetric result, do a rigging test."
at,ADP,"function word that shows the location, position, direction or time that something occurs",Disconnect the hose at the pitot head.,
attach,VERB,to stay together or to cause different items to stay together,Make sure that the label fully attaches to the surface and that there are no bubbles.,
authority,NOUN,an official organization that gives approval to something,Get the approval of the design authority before you change the procedure.,
automatic,ADJ,that operates without other input,Use the automatic system to open the doors.,
automatically,ADV,that operates without other input,The fuel flow stops automatically.,
auxiliary,ADJ,that operates in a secondary function,Lubricants for the engine and the auxiliary equipment are the same.,
available,ADJ,prepared or supplied for you to use,"If electrical power is available, do a continuity check.",
away from,ADP,in or to a different position or direction,Do the work in an area away from equipment or metal frame buildings.,
axial,ADJ,related to an axis,Do steps 1 thru 4 to make sure that no axial load is applied on the rod.,
axially,ADV,related to an axis,The load is applied axially.,
back,ADV,to an initial condition,Move the engine throttle back to 60% rpm.,
balance,VERB,to make equal,Balance the electrical loads on each generator.,
bare,ADJ,without a surface layer or protection,Bare metal surfaces are usually satisfactory for an electrical bond.,
basic,ADJ,approved minimum,This modification changes the basic configuration of the system.,
